Título,Enlace,Precio,Dirección,Características,Colonia de Origen
"Bonito Departamento en primer piso exterior. Muy Iluminado. A estrenar!! 60 mts2. loft. terraza. Recamara. Clóset. Estancia comedor. Cocina. Barra. Sala. Baño completo. Incluye muebles sala, barra, cocina equipada, refrigerador, cama, pantalla hd. Los servicios van incluidos, agua, luz y gas. Además del internet. Comunicarse con Julio Pérez. Ver datos.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amueblado-viaducto-tlalpan-exterior-loft-66825281.html,"MN 12,000","Sta Anita 230
Viaducto Piedad, Iztacalco","60 m² lote, 1 rec., 1 baño",Viaducto Piedad
"Exceente ubicacion departamento muy iluminado dentro de efificio de solo 8 deptos. Muy tranquilo; compuesto por 2 recamaras grandes con closet, estanci-comedor, cocina integral, baño completo con canceleria, area de lavado integrada Y jaula de tendido en azotea, cuenta con un lugar de estacionameinto,, no se aceptan mascotas, para mayores informes Y citas comuniquese al Ver datos sr. Roberto vela",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-en-viaducto-piedad-147251781.html,"MN 14,000","Sur 73 4349
Viaducto Piedad, Iztacalco","20 m² lote, 2 rec., 1 baño, 1 estac.",Viaducto Piedad
"Pequeño departamento ubicado a media cuadra de Viaducto Río de la Piedad y La Coruña, a unas cuadras de Calz. De Tlalpan (metro Viaducto). Se encuentra en 3 piso, sin elevador. Cuenta con estancia sala-comedor, cocina integral, 1 recamara con closet, espacio para vestidor, 1 baño completo y no cuenta con estacionamiento. No niños y no mascotas. Citas: (55) Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-pequeno-departamento-en-renta-en-col.-viaducto-piedad-147424344.html,"MN 10,500","Marcos Carrillo 276
Viaducto Piedad, Iztacalco","62 m² lote, 1 rec., 1 baño",Viaducto Piedad
"Departamento en Renta. $15, 500. Viaducto Río Piedad, Tlalpan. 72m2. 2 Recamaras. 2 Baños. Balcón. 1 Estacionamiento. Se acepta solo 1 (una) mascota pequeña.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tlalpan-143516774.html,"MN 15,500","Viad. Río de la Piedad 256, Asturias
Asturias, Cuauhtémoc","67 m² lote, 2 rec., 2 baños, 1 estac.",Viaducto Piedad
"-Este edificio es en una joya escondida en el corazón de Ciudad de México. -Calidad excepcional que se ajusta a tu presupuesto en un vecindario seguro como la Alcaldía Benito Juárez. -Todo tipo de comercios al alcance de tu mano. -Variedad de opciones en el edificio, desde 44 hasta 55m2. -Variedad de opciones en el edificio, desde $2, 390, 000. -No cuenta con estacionamiento",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-centricos-venta-en-la-benito-juarez-143516017.html,"MN 22,000","obrero mundial 736
Álamos, Benito Juárez","52 m² lote, 2 rec.",Viaducto Piedad
"Espectacular departamento de 87. 5m2 en la alcadia benito juarez. cuenta con: 2 recamaras con su closet, 2 baños completos. sala comedor. cocina equipada. area de lavado. 2 balcones. 2 cajones de estacionamiento independientes. 1 bodega. 1 roof garden privado de 79. 5m2. caseta de vigilancia las 24hrs. Y elevador",https://www.inmuebles24.com/propiedades/clasificado/alclapin-espectacular-departamento-en-renta-en-la-alcaldia-66275391.html,"MN 23,000","CADIZ
Álamos, Benito Juárez","85 m² lote, 2 rec., 2 estac.",Viaducto Piedad
"La alcaldía Cuauhtémoc te ofrece un departamento para tu familia con 80m2, 2 recamaras, 2 baños completos, área de sala comedor, cocina integral, sin lugar de estacionamiento, 4to piso sin elevador. Amueblado. Contáctanos para conocer más sobre el departamento",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-col.-asturias-cuauhtemoc-146653406.html,"MN 18,000","José Sotero
Asturias, Cuauhtémoc","80 m² lote, 2 rec., 2 baños",Viaducto Piedad
"Departamento ubicado en planta baja, dentro de condominio de solo 5 viviendas, consta de estancia-comedor amplios, cocina integral, hall de distribucion hacia recamaras, 2 recamaras grandes con closet, 2 baños completos, patio de servicio, cuarto de servicio en azotea con baño comun, espacio de terraza con azador, cuenta con un lugar de estacionameinto con porton automatico, para mayores informes Y citas comunicarse con el sr. Roberto vela al Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-colonia-alamos-147454103.html,"MN 18,000","CADIZ # 203
Álamos, Benito Juárez","60 m² lote, 3 rec., 3 baños, 1 estac.",Viaducto Piedad
"En renta excelente Departamento muy bien ubicado a pasos del Metro Xola, Av. Tlalpan, Plutarco, Av. Xola, Parques, Cafeterías, iglesia, Mercado. Edificio de 20 años de antigüedad, buen mantenimiento, elevador, Estacionamiento fijo sin estorbarse, ubicado en piso 4 con excelente iluminación natural, 3 recámaras con closet, la principal con baño, y otro baño que da servicio a las otras dos recámaras y el área social, 70m2 muy bien distribuidos con amplia e iluminada sala comedor, cocina integral en concepto abierto, área de lavado con instalación para lavadora. La renta incluye mantenimiento!!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-en-renta-departamento-col.-moderna-alc.-benito-juarez-147380877.html,"MN 18,000","Rubén Darío 97
Moderna, Benito Juárez","70 m² lote, 3 rec., 2 baños, 1 estac.",Viaducto Piedad
"Se renta departamento en colonia Álamos, a una cuadra del metro Viaducto, esta en un piso 12 con 60 metros de construcción, cuenta con elevador, vigilancia 24 horas, gimnasio. Son son recamaras, un baño, estancia, comedor, cocina y área de lavado, un lugar de estacionamiento compartido.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-en-alamos-dos-recamaras-con-147430587.html,"MN 14,000","Calzada de Tlalpan 550
Álamos, Benito Juárez","60 m² lote, 2 rec., 1 baño, 1 estac.",Viaducto Piedad
