Título,Enlace,Precio,Dirección,Características,Colonia de Origen
Calle Rubén M Campos 2907. Colonia Villa de Cortes. Alcaldía Benito Juarez. Ciudad de México. C. P. Ver datos. Area construida: 81. 75 m2. Departamento interior. Ubicado en Planta Baja. espacios. - Cocina integral. Sala comedor. 2 baños completos (uno en zona de sala comedor) Recámara 1. Recámara 2 con baño integrado y con salida a patio posterior. Zona de tendido de ropa en patio posterior,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-villa-de-cortes-147156778.html,"MN 16,000","Avenida Rubén M. Campos 2907
Villa de Cortes, Benito Juárez","82 m² lote, 2 rec., 2 baños, 1 estac.",Villa de Cortés
"Vive con comodidad en este departamento amueblado en la Colonia Niños Héroes de Chapultepec, a dos cuadras del Parque y el Mercado La Postal, cercano a la estación de metro Villa de Cortés y metrobús Álamos, una zona céntrica y de gran conectividad en la cdmx. Ubicado en el 4 piso, este espacio está diseñado para brindarte practicidad y confort: dos (2) recámaras, un (1) baño completo, sala y comedor equipados, cocina integral, un (1) cajón de estacionamiento. Se aceptan mascotas. El departamento se encuentra en excelente estado y gracias a que está amueblado, solo necesitas llegar con tus maletas para comenzar a disfrutarlo. Su ubicación te conecta fácilmente con vías principales, transporte público, supermercados, restaurantes y todos los servicios que necesitas para tu día a día. Ideal para profesionistas, parejas o pequeñas familias que buscan un espacio funcional y bien ubicado en la ciudad. Requisitos: - Un mes de depósito en garantía. - Un mes de renta. - Póliza Jurídica. Precio sujeto a cambios sin previo aviso. ¡Somos Rent-A-House! #26-484avc",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-amueblado-en-ninos-heroes-de-147401907.html,"MN 16,500","Guipúzcoa
Niños Héroes, Benito Juárez","65 m² lote, 2 rec., 1 baño, 1 estac.",Villa de Cortés
"Departamento en renta – Colonia Nativitas. tp. Departamento disponible en la colonia Nativitas, alcaldía Benito Juárez, Ciudad de México. Ubicado a 500 metros de la estación del metro Nativitas, a aproximadamente 150 metros de Calzada de Tlalpan y a 600 metros del centro comercial Walmart Tlalpan. El inmueble se encuentra en el primer piso del edificio, cuenta con una superficie total de 68. 72 metros cuadrados, distribuidos de la siguiente manera: *Tres habitaciones. Dos de ellas incluyen clóset, una cuenta con estantería de madera empotrada en la pared. *Un baño completo con cancel e instalación para centro de lavado. *Cocina integral. *Área de sala-comedor. *Pasillo central con armario de aproximadamente 1. 5 metros de longitud. **Esta renta no incluyelos muebles visibles en las fotos** La zona ofrece acceso cercano a establecimientos de autoservicio, comercios locales, escuelas y espacios públicos. No se aceptan mascotas. Comunícate con nosotros para agendar tu visita y conocer tu próximo hogar. -Requisitos de arrendamiento- El arrendatario debe tener ingresos comprobables (estados bancarios o recibos de nómina timbrados) equivalentes a 3 veces el monto de la renta, con con fiador u obligado solidario, realizar el pago de la investigación y póliza jurídica y pagar un mes de arrendamiento y un mes de depósito al momento de firma de contrato de arrendamiento. (4)",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-nativitas-4-146569339.html,"MN 16,000","ELISA
Nativitas, Benito Juárez","69 m² lote, 3 rec., 1 baño",Villa de Cortés
"Vive con comodidad en este departamento amueblado en la Colonia Niños Héroes de Chapultepec, una zona céntrica y de gran conectividad en la cdmx. Ubicado en el 4 piso, este espacio está diseñado para brindarte practicidad y confort: 2 recámaras 1 baño completo Sala y comedor equipados Cocina integral 1 cajón de estacionamiento Se aceptan mascotas. El departamento se encuentra en excelente estado y gracias a que está amueblado, solo necesitas llegar con tus maletas para comenzar a disfrutarlo. Su ubicación te conecta fácilmente con vías principales, transporte público, supermercados, restaurantes y todos los servicios que necesitas para tu día a día. ( Ideal para profesionistas, parejas o pequeñas familias que buscan un espacio funcional y bien ubicado en la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-col-ninos-heroes-de-147364092.html,"MN 16,500","Guipúzcoa
Niños Héroes, Benito Juárez","65 m² lote, 2 rec., 1 baño, 1 estac.",Villa de Cortés
"CaracterísticasDepartamento - Loft en Renta ideal para pareja o una sola persona, que quieran vivir a unos minutos del centro de la Ciudad de México, esta en recien remodelado y muy cerca del metro Villa de Cortes, en la Alcaldía Benito Juárez. Planta Baja – Exterior con 40 m2. Distribuidos en Estancia- Cocina puede incluir refrigerador es opcional, 1 recámara, 1 baño completo, cuarto de lavado con lavadora incluida y bodega, no cuenta con estacionamiento, petfrendy, mantenimiento, servicios de agua y luz incluidos; se encuentra a media cuadra de un parque y sobre una calle de cafecitos y restaurantes. Zona Entre los ejes 4 (Xola) y 5 (Eugenia) ; a 4 cuadras de Calzada de Tlalpan a la altura del Metro Villa de Cortes dirección Centro Histórico que en metro se encuentra a 15 min de distrancia. Requisitos1 mes renta corriente, 1 mes de depósito, Fiador con propiedad/ Obligado solidario. Póliza de Rentas (costo $3, 850. 00) , Investigación con valor de 3, 250 pesos [consultar precio si fueran más de 3 personas a investigar]. Del pago inicial de investigación se tomarán a cuenta $2, 250 pesos del costo total de la póliza. Nota: si la investigación no sale positiva, o cancela no será reembolsable. clave md",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-iztaccihuatl-147369173.html,"MN 12,000","Javier Sorondo 260 Iztaccihuatl, Ciudad de México Ciudad de México 03520
Iztaccihuatl, Benito Juárez","40 m² lote, 1 rec., 1 baño",Villa de Cortés
"Departamento seminuevo en segundo piso con elevador, la recámara principal es muy amplia, tiene dos recámaras, dos baños y un estacionamiento que se comparte con un vecino, elevador, a una calle del metro Nativitas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-nativitas-147069939.html,"MN 17,400","Luisa 129
Nativitas, Benito Juárez","70 m² lote, 2 rec., 2 baños, 1 estac.",Villa de Cortés
"Espléndidas departamento amueblado con un ambiente armonioso y con una gran ubicación. Cercano a vialidades principales: Eje Central, Calzada de Tlalpan, Dr Vertiz y Av Universidad. Con una gran variedad de servicios a la redonda: tiendas de autoservicio, Walmart, cafeterías, restaurantes, entre otros. Ubicado en el primer nivel, el departamento tiene vista exterior y consta de: - 3 Recámaras con closet (la principal con baño completo) - 2 Baños completos. - Área de estancia-comedor. - Cocina integral. - Cuarto de lavado. - 1 lugar de estacionamiento (con opción a un segundo lugar) Servicios No Incluidos. El condominio cuenta con vigilancia 24 hrs, acceso restringido y circuito de cámaras. ¡ Ven a conocerlo y déjate conquistar por este gran espacio!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-iluminado-departamento-amueblado-cercano-a-av-143744770.html,"MN 26,500","Castilla 117
Niños Héroes, Benito Juárez","91 m² lote, 3 rec., 2 baños, 1 estac.",Villa de Cortés
"CaracterísticasDepartamento - Loft en Renta ideal para pareja o una sola persona, que quieran vivir a unos minutos del centro de la Ciudad de México, esta en recien remodelado y muy cerca del metro Villa de Cortes, en la Alcaldía Benito Juárez. Planta Baja – Exterior con 40 m2. Distribuidos en Estancia- Cocina puede incluir refrigerador es opcional, 1 recámara, 1 baño completo, cuarto de lavado con lavadora incluida y bodega, no cuenta con estacionamiento, petfrendy, mantenimiento, servicios de agua y luz incluidos; se encuentra a media cuadra de un parque y sobre una calle de cafecitos y restaurantes. Zona Entre los ejes 4 (Xola) y 5 (Eugenia) ; a 4 cuadras de Calzada de Tlalpan a la altura del Metro Villa de Cortes dirección Centro Histórico que en metro se encuentra a 15 min de distrancia. Requisitos1 mes renta corriente, 1 mes de depósito, Fiador con propiedad/ Obligado solidario. Póliza de Rentas (costo $3, 850. 00) , Investigación con valor de 3, 250 pesos [consultar precio si fueran más de 3 personas a investigar]. Del pago inicial de investigación se tomarán a cuenta $2, 250 pesos del costo total de la póliza. Nota: si la investigación no sale positiva, o cancela no será reembolsable. clave md",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-iztaccihuatl-147369171.html,"MN 12,000","Javier Sorondo 260 Iztaccihuatl, Ciudad de México Ciudad de México 03520
Iztaccihuatl, Benito Juárez","40 m² lote, 1 rec., 1 baño",Villa de Cortés
"Departamento en primer nivel, con balcón en las dos recámaras y en la estancia, cocina integral, dos baños completos, área de lavado adjunta, piso porcelanato y un estacionamiento (techado) independiente en pb portón electríco, condominio rodeado de todo tipo de servicios, ubicado entre importantes vías de comunicación: Avenida Presidente Plutarco Elias Calles, Eje 5 Sur Nativitas, Calzada de Tlalpan, estaciones de metro cercanas: Villa de Cortes y Nativitas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-en-nivel-uno-con-balcon-dos-recamaras-dos-banos-147396620.html,"MN 20,000","REFUGIO 132
Nativitas, Benito Juárez","65 m² lote, 2 rec., 2 baños, 1 estac.",Villa de Cortés
"Cómodo departamento ideal para una persona o pareja, ubicado en la colonia Niños Héroes de Chapultepec, muy cerca de avenidas principales y servicios. - 1 recámara amplia. - 1 baño completo. - Sala-comedor. - Cocina funcional. - Área de lavado integrada. - Aproximadamente 50 m² Renta mensual: 8, 500. Ubicado en una zona céntrica y tranquila de la alcaldía Benito Juárez, con excelente conectividad y acceso a transporte público.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-1-recamara-en-renta-ninos-heroes-50-147389538.html,"MN 8,500","Agustín Melgar 1
Niños Héroes, Benito Juárez","50 m² lote, 1 rec., 1 baño",Villa de Cortés
