Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"¡Excelente opción en Coyoacán! Este departamento en Hacienda Coyoacán, ubicado en la calle Rancho Estopila, es un hogar ideal para aquellos que buscan comodidad y tranquilidad en una zona estratégica de la ciudad. Con 2 recámaras amplias y cómodas, 2 baños completos y 1 cajón de estacionamiento, este departamento ofrece todo lo que necesitas para vivir con estilo. La ubicación en Coyoacán es perfecta, ya que se encuentra en una zona tranquila y bien comunicada, lo que te permite acceder fácilmente a todos los servicios. Cerca de Coapa y de avenidas como Calzada del Hueso, Bombas, Miramontes y Periférico. La renta mensual de $24, 000 pesos es una excelente opción para parejas o pequeños grupos que buscan un hogar cómodo y bien ubicado en una de las zonas más emblemáticas al sur de la Ciudad de México. ¡No te pierdas la oportunidad de hacer de este departamento tu hogar!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-haciendas-de-coyoacan-147136159.html,"MN 24,000","Rancho Estopila, Hacienda Coyoacán
Haciendas de Coyoacán, Coyoacán","166 m² lote, 2 rec., 2 baños, 1 estac.",Coyoacán
"Renta departamento! Yama punta museo de 2 recamaras, 78M2, 2 baños completos, area de lavado, 2 estacionamientos, incluye bodega de 5M2, piso 7, la renta incluye mantenimiento, se aceptan mascotas. inormes Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-de-2-recamaras-78-m-sup2--en-yama-147386186.html,"MN 21,000","AV DIVISION DEL NORTE 3572
San Pablo Tepetlapa, Coyoacán","78 m² lote, 2 rec., 2 baños, 2 estac.",Coyoacán
"Viva en un concepto integral de confort y modernidad. Desarrollo de 2 edificios de uso mixto: centro comercial, museo del automóvil y uso habitacional. Ubicado sobre Av. División del Norte, a unos minutos de grandes vialidades como Calzada de Tlalpan, Av. Miguel Ángel de Quevedo y Periférico Sur, lo que le permite una excelente movilidad en la zona. El Departamento consta de 2 recámaras, la principal con baño al interior y walking closet y la segunda con baño en pasillo. Cuenta con una estancia luminosa, cocina abierta, área de lavado y 2 lugares de estacionamiento exclusivos para el departamento. Vigilancia las 24hrs. Con cámaras y personal de seguridad. El edificio cuenta las siguientes amenidades: Ludoteca, Salón de usos múltiples, área de asador, área con juegos infantiles, club social, business center, lavandería. Con la comodidad de un centro comercial con restaurantes y un club con alberca y gimnasio, con descuento para residentes.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-yama-punta-museo-coyoacan-146856361.html,"MN 21,000","Av. División del Norte 3572
San Pablo Tepetlapa, Coyoacán","80 m² lote, 2 rec., 2 baños, 2 estac.",Coyoacán
"Recién remodelado, con espacios que puedes adaptar a tus necesidades, ideal para una pareja. Entrada independiente sobre la calle, consta de sala, comedor, cocina sin estufa, área de lavado, 1 baño completo; recamara principal con clóset y medio baño, se encuentra en el piso de arriba muy iluminada, No hay etacionamiento. , pero pueden estacionar el auto frente a la casa. Pedregal de Santa Úrsula es una zona tranquila y familiar, con un ambiente consolidado. Encontrarás opciones de transporte público como paradas de autobús urbano. Las vialidades principales cercanas facilitan el acceso. Hay escuelas de nivel básico y medio, para tus compras, cuentas con supermercados y tiendas de conveniencia. También hay parques y áreas verdes para recreación. Requisitos para arrendar el departamento: -Póliza Jurídica. -Un deposito y la renta del mes. -Obligado solidario. -Comprobante de ingresos. ¡Que no te lo ganen!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-en-pedregal-de-santa-ursula-147269612.html,"MN 9,500","San Jorge
Pedregal de Santa Ursula, Coyoacán","65 m² lote, 1 rec., 1 baño",Coyoacán
"Penthouse en Renta o Venta – División del Norte, Coyoacán | Roof Garden Privado y Vistas Increíbles. Disponible de inmediato para estrenar estilo de vida en uno de los barrios con más historia y encanto de la cdmx. Este ph combina diseño, amplitud y una terraza privada perfecta para disfrutar al aire libre. Características: 84 m² interiores bien distribuidos. 2 recámaras con clósets amplios. 2 baños completos. Cocina equipada y área de lavado. Estancia luminosa con excelente ventilación. Lo mejor: Roof Garden privado de 70 m² con vistas despejadas, ideal para reuniones, asados o relajarte bajo el cielo de Coyoacán. Ubicación privilegiada: Sobre División del Norte, a minutos de Viveros y del centro de Coyoacán, con fácil acceso a avenidas principales. Zona segura, de gran plusvalía y ambiente residencial. Listo para habitar. Agenda tu visita hoy y estrena tu nuevo hogar.",https://www.inmuebles24.com/propiedades/clasificado/veclapin-renta-venta-ph-depto-division-del-norte-coyoacan-2-rec-147004585.html,"MN 25,500","RESIDENCIAL DEL PARQUE COYOACAN
La Candelaria, Coyoacán","150 m² lote, 2 rec., 2 baños, 2 estac.",Coyoacán
"Vive en residencial marsella Y disfruta de una gran ubicación! Ubicación: centro comercial gran sur, gasolinería, todos los bancos, cerca de estadio de aztec Y C. U. 70mts2, 2 recámaras la principal con vestidor y baño, recámara secundaria con closet, 2 baños completos, sala comedor, cocina abierta, un cajón de estacionamiento. amenidades: gym, ludoteca, roof garden con 2 jacuzzis Y salón para fiestas. Disponible 1ero de septiembre, mantenimiento incuido. departamento para disfrutar! ___________________________________________________________________________________________________________________________________________________________________________________________________Todas las imágenes mostradas en este anuncio son para fines ilustrativos, el departamento no se renta amueblado. Es importante hacer una visita al inmueble para conocer características y/o acabados. requisitos* 1 Mes de depósito* 1 Mes de renta* Fiador con bien raíz libre de gravamen en cdmx* Firma de Póliza Jurídica de Arrendamiento e Investigación* (Probables requisitos extras) dependiendo del perfil del cliente, condiciones del propietario, propuesta de renta, tiempo y tipo de arrendamiento con o sin muebles*Rentas inmuebles comerciales precio de renta mas iva* Contrato mínimo por 1 año.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-excelente-departamento-en-renta-junto-a-gran-sur-av-147091136.html,"MN 20,000","Avenida del Imán 1, Colonia el Caracol, Coyoacán, C.p. 04739
El Caracol, Coyoacán","70 m² lote, 2 rec., 2 baños, 1 estac.",Coyoacán
"Departamento con excelente iluminación, ubicado en la planta alta de una casa con acceso independiente, el inmueble se ubica en una calle cerrada que cuenta con portón eléctrico. Dispone de dos recámaras, la principal con closet, baño completo y un pequeño balcón. La segunda recámara es amplia y dispone de baño completo en pasillo. Cuenta con cocina integral y estancia de buen tamaño. A la entrada de la casa dispone de dos espacios para estacionamiento. Departamento con muy buena ubicación, se encuentra entre Canal de Miramontes y Calzada de Tlalpan, cercano a parques, escuelas y al metro Taxqueña, diversas vías de acceso con circulación fluida.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-con-excelente-iluminacion-147456208.html,"MN 16,000","Retorno 707 20
El Centinela, Coyoacán","70 m² lote, 2 rec., 2 baños",Coyoacán
"Departamento recién remodelado en renta, con excelente ubicación entre Av. Cerro de las Torres y Cerro de Guadalupe. Cerca del metro Taxqueña, parque Lineal, Country Club y Canal de Miramontes en la Colonia Campestre Churubusco. Cuenta con sala-comedor, cocina, dos recámaras con clóset, un baño, un estacionamiento en línea de tres, tercer nivel, exterior, bodega y área de tendido en azotea. Requisitos: Con fiador con bien inmueble; si no tiene fiador se pagará una cobertura jurídica; pago de depósito en garantía una vez aprobada la solicitud y pago de la primera renta a la firma del Contrato. No se cobrará ninguna cantidad, sino hasta después de haber aceptado su solicitud, debiendo hacer el pago únicamente en la cuenta bancaria de ac rentas, S. C.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-cerca-del-metro-taxquena-147352920.html,"MN 17,000","Cerro Vigia 36
Campestre Churubusco, Coyoacán","77 m² lote, 2 rec., 1 baño, 1 estac.",Coyoacán
"Lindo departamento en renta en ubicación privilegiada del sur de la Ciudad, calle privada a 3 min del Centro Comercial Perisur, cerca a vías principales de comunicación, colegios, universidades, Centros Comerciales (Perisur, Huipulco, Kitzania). Vigilancia 24 horas. Departamento exterior localizado en el piso 3, con elevador, consta de: amplia sala-comedor, cocina equipada en concepto abierto, 2 recámaras, la principal con baño vestidor, balcón, dos baños, área de lavado, 2 estacionamientos (eleva autos). Se encuentra en el piso 3, es exterior",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-bonito-departamento-80-m-sup2--insurgentes-147364028.html,"MN 17,900","Geyser, Col Insurgentes Cuicuilco, Coyoacán
Insurgentes Cuicuilco, Coyoacán","80 m² lote, 2 rec., 2 baños, 2 estac.",Coyoacán
"Ubicadísimo departamento en calle tranquila a solo unos metros de Mitika, y muy cerca del centro de Coyoacán con excelente ubicación y vías de acceso. Iluminado y en excelentes condiciones, en edificio de 8 pisos, ubicado en un segundo piso y con solo 2 departamentos por nivel está este clásico departamento con mucha madera y amplias ventanas que consta de recibidor a la entrada, estancia muy amplia, cocina y antecomedor. Un amplio pasillo conduce a las 3 recámaras, todas muy amplias y con muy buenos closets. La recámara principal tiene baño y un segundo baño completo que comparten las otras 2 recámaras. Área de lavandería y cuarto de servicio con baño integrado. 1 lugar de estacionamiento fijo, no se estorba. Conserje de lunes a viernes de 8: 00 am a 6: 00 pm, sábados hasta las 2: 00 pm. Requisitos: Mes de depósito. Fiador u obligado solidario. Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-coyoacan-de-3-recamaras-147149879.html,"MN 35,000","Matamoros 46
Del Carmen, Coyoacán","167 m² lote, 3 rec., 2 baños, 1 estac.",Coyoacán
