Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"Departamento en Renta – San Jerónimo (100 m²) ? A un lado de la pastelería La Casita | Muy cerca de la Bandera¡Amplio, cómodo y con excelente ubicación! Este departamento de 100 m² se encuentra en una de las zonas más prácticas del sur de la ciudad, a solo unos pasos de la Bandera de San Jerónimo y justo junto a la pastelería La Casita. Características: 2 recámaras con buena iluminación2 baños completos1 lugar de estacionamientoSala-comedor ampliaCocina integralÁrea de lavadoExcelente conectividad a Periférico Sur, supermercados, escuelas, transporte público y zonas comerciales.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-san-jeronimo-lidice-147136415.html,"MN 24,000","San Jerónimo Lidice
San Jerónimo Lídice, La Magdalena Contreras","100 m² lote, 2 rec., 2 baños, 1 estac.",La Magdalena Contreras
"Departamento remodelado. amueblado. frente al jardin. no mascotas. ideal pareja O persona sola. la renta incluye mantenimiento Y servicios de agua, luz Y gas, internet Y cablevision. jardin area comun. cisterna. una recamara con cama matrimonial. closet, comoda Y buros. cocineta equipada con parrilla de gas, horno de microondas, refrigerador. sala con love seat Y futon, pantalla de tv. un estacionamiento fijo E independiente. area de lavado comun con lavadora automatica, lavadero Y area de tendido. no corredores",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-remodelado-amueblado-1-rec-bano-auto-jardin-no-60489033.html,"MN 12,000","CALLEJON DEL PRADO
Barrio San Francisco, La Magdalena Contreras","50 m² lote, 1 rec., 1 baño, 1 estac.",La Magdalena Contreras
"Ph en san jeronimo lidice. Departamento con magnifica vista, excelente iluminación natural, ubicado en el séptimo piso, Cuenta con tres recámaras con baños completos cada una, un walking-closet, una con tina de baño, una de las recámaras se localiza en el segundo nivel y cuenta con terraza amplia, estancia, sala comedor, cocina integral, cuarto de lavado con baño completo y patio, bodega, estacionamientos, con dos elevadores y vigilancia las 24 horas. Se localiza entre las avenidas principales como anillo periférico y Av. Contreras. El monto de la renta no incluye el mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-blvd.-adolfo-ruiz-cortines-2775-depto.-ph2-146012747.html,"MN 34,100","BLVD. ADOLFO RUIZ CORTINES, 2775
San Jerónimo Lídice, La Magdalena Contreras","232 m² lote, 3 rec., 4 baños, 2 estac.",La Magdalena Contreras
"Se renta casa de 80m2, más 85m2 de jardines. Sala comedor, cocina, una recámara grande y una pequeña, un baño completo y un lugar de estacionamiento es tipo fraccionamiento con 5 casas, zona muy tranquila. Se aceptan mascotas. Mes de renta, mes de depósito y póliza jurídica.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-en-renta-col.-san-jeronimo-lidice.-147259900.html,"MN 16,000","Magnolia 26
San Jerónimo Lídice, La Magdalena Contreras","165 m² lote, 2 rec., 1 baño, 1 estac.",La Magdalena Contreras
"Exclusivo conjunto en Pedregal 2, cuenta con cocina integral con cuarto de lavado, estancia amplia e iluminada, vigilancia y administración interna, cancha de futbol, basket ball, tenis y juegos para niños, áreas verdes, 3 recámaras con closets, estudio, 2 lugares fijos de estacionamiento, no se aceptan mascotas, interfón. Cerca del Hospital Angeles del Pedregal.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-3-recamaras-pedregal-2-146613049.html,"MN 26,000","San Marcos 11
Pedregal 2, La Magdalena Contreras","180 m² lote, 3 rec., 2 baños, 2 estac.",La Magdalena Contreras
"Bonito departamento recién remodelado en un condominio horizontal. Consta de estancia, cocina con desayunador, área de lavado incluye lavadora y secadora. Amplio estudio, una recámara grande con closet de muy buen tamaño con vista al jardín. Comparte jardín y terraza con otro departamento. La renta incluye los servicios de agua, luz y gas. Se requiere póliza jurídica con aval. Un lugar de estacionamiento. No se permiten mascotas. Conócelo!! Malena Romo Ver datos. Maru de Miguel Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-en-san-nicolas-totolapan-dentro-de-146371355.html,"MN 13,500","SOLEDAD
San Nicolás Totolapan, La Magdalena Contreras","80 m² lote, 1 rec., 1 baño, 1 estac.",La Magdalena Contreras
"Departamento en Venta en francisco del Olmo 100 col Barranca Seca en Delegación Magdalena Contreras, “Total mente remodelado “ Cocina Nueva, Muebles de baño nuevos, cuenta con dos recámaras, un baño completo, area de lavado, tiene un estacionamiento que no comparte con ningún vecino mide 60m2",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-en-francisco-del-olmo-100-col-146746323.html,"MN 1,950,000","Francisco del Olmo Magdalena Contreras
Barranca Seca, La Magdalena Contreras","60 m² lote, 2 rec., 1 baño, 1 estac.",La Magdalena Contreras
"Departamento en renta ubicado en San Jerónimo Lídice. Cuenta con sala, comedor y cocina integral. Dispone de 3 recámaras con clóset y 1 baño completo, además de 1 medio baño. Todo el departamento tiene persianas. En el exterior, goza de 2 lugares de estacionamiento. El edificio ofrece caseta de guardia y seguridad privada, así como estacionamiento de visitas. Además, cuenta con área de lavandería e internet/wifi, y todos los servicios básicos (agua/luz) están incluidos. San Jerónimo Lídice es una zona predominantemente residencial, con un ambiente tranquilo y familiar. Cuenta con diversas opciones de transporte público, incluyendo acceso a avenidas principales. Encontrarás escuelas de nivel básico y medio superior en los alrededores, así como supermercados, tiendas de conveniencia y farmacias. Para el ocio, hay parques y restaurantes cercanos. La zona se percibe como segura y ofrece un ambiente de vida de barrio, ideal para familias y profesionales que buscan tranquilidad y cercanía a servicios.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-3-recamaras-en-renta-san-jeronimo-147349869.html,"MN 20,000","Av. Contreras
San Jerónimo Lídice, La Magdalena Contreras","90 m² lote, 3 rec., 1 baño, 2 estac.",La Magdalena Contreras
"Amplio departamento exterior en Av. San Bernabé en la parte baja. Cuenta con 120m2. Muy iluminado. Estancia sala - comedor con balcón. Cocina con barra de granito. Área de lavado. 2 recamaras con baño y vestidor cada una, medio baño de visitas. 2 estacionamientos. Bodega. Estacionamiento de visitas. Areas comunes: Salón de eventos, Lindo jardín de 300m2 aprox. Vigilancia 24/7. Mantenimiento incluido",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-av-san-bernabe-146602655.html,"MN 32,000","Av San Bernabe 147
San Jerónimo Lídice, La Magdalena Contreras","120 m² lote, 2 rec., 2 baños, 2 estac.",La Magdalena Contreras
"Departamento en renta ubicado en San Jerónimo Lídice. Cuenta con 3 recámaras, ideal para familias o roomies. El interior ofrece sala, comedor y cocina integral equipada. Disfruta de 2 baños completos y prácticos clósets en las recámaras. En el exterior, cuenta con 2 lugares de estacionamiento independientes y estacionamiento para visitas. El edificio ofrece caseta de guardia y seguridad privada para tu tranquilidad. La zona de San Jerónimo Lídice es principalmente residencial, con un ambiente tranquilo y familiar. Encontrarás escuelas cercanas, así como servicios básicos como supermercados y farmacias. El transporte público es accesible, con diversas opciones de autobuses y vialidades importantes que facilitan la movilidad. La zona también ofrece áreas verdes y parques para actividades recreativas, así como restaurantes y comercios locales. La seguridad es un aspecto valorado en este barrio, con vigilancia y un ambiente vecinal.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-3-recamaras-en-renta-san-jeronimo-147272008.html,"MN 22,000","Av. Contreras
San Jerónimo Lídice, La Magdalena Contreras","90 m² lote, 3 rec., 2 baños, 2 estac.",La Magdalena Contreras
