Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"¡Bienvenido a tu hogar en este impresionante departamento ubicado en lo que antes fue una fábrica de ropa! Con un diseño industrial que preserva el carácter histórico del edificio, este espacio te ofrece una experiencia auténtica y moderna. Cuenta con 2 habitaciones, 1 baño completo y un lugar de estacionamiento. Amueblados con 2 burós, camas matrimoniales, comedor de 6 a 8 plazas, 2 sillones, microondas, tv, refrigerador, sillón sofa cama y closets. (También tenemos una opción sin muebles) ¡Vive la historia: alojarte en este espacio industrial te conecta con el legado de la creatividad y la transformación! Ubicada en una zona con mucha oferta comercial y gastronómica. A 5 minutos de la propiedad caminando se encuentra el centro comercial &quot;Parque Vía Vallejo&quot; con restaurantes, supermercado, cine, gimnasio, tiendas departamentales, pista de hielo, cafeterías y tiendas diversas. Disponible A partir del 15 de septiembre",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-en-lindavista-vallejo-147469336.html,"MN 22,000","Pte. 126 407, Lindavista Vallejo III Secc, Gustavo A. Madero, 07750 Ciudad de México, Cdmx ? al 400
Gustavo A. Madero, Ciudad de México","52 m² lote, 2 rec., 1 baño, 1 estac.",Gustavo A. Madero
"Departamento en renta amplio e iluminado, exterior, con vista a áreas verdes, listo para ocuparse, con tres recámaras, dos baños, cocina integral, closets, y area der lavado. Cerca de arterias principales como el Eje Lázaro Cárdenas, Av. Instituto Politécnico Nacional, así como plazas comerciales, cines, restaurantes, escuelas. Si necesitas un departamento amplio, cercano a vías de comunicación y en un fraccionamiento seguro, este es el lugar.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amplio-e-iluminado-departamento-en-torres-lindavista-147039844.html,"MN 17,000","Manuel Luis Stampa Ortigoza 4
Torres Lindavista, Gustavo A. Madero","88 m² lote, 3 rec., 2 baños, 2 estac.",Gustavo A. Madero
"Renta de Departamento en 4 piso. Distribución: • Sala. • Comedor. • Recámara secundaria con closet. • 1 Baño completo. • Recámara principal con closet y balcon. • Cocina integral. • Cuarto de lavado. • 1 lugar de estacionamiento escriturado. Características: • Superficie: 63. 20 m2. • Forma de Terreno: Regular. • Edad: 4 años aprox. • Piso en el que se encuentra: 4° piso. • Niveles Totales: 6 niveles. • Uso de suelo: Habitacional. • Mantenimiento: $850 pesos mensuales. Equipamiento del Departamento: • Gas de red. • Boiler. • Lavadero. • Preparación para lavadora. • Closet en recamaras. • Estufa. • Contrato cfe. Equipamiento Edificio: • Cisterna. • Tinacos. • Vigilancia privada. • Escaleras. • Elevador. • Ludoteca. • Salon de fiestas. • Gimnasio. • Circuito cerrado. Servicios de la Zona: • Agua, • cfe, • Drenaje, • Servicios municipales, • Gas, • Transporte Publico. Vialidades: • 40 m Coppel. •110 m Scorpion Centenario. • 260 m del mercado Gabriel Hernandez. •700 m de Bodega Aurrera Express. • 850 m Deportivo Nueva Atzacoalco. • 2, 200 m metro Martin Carrera. •3, 500 m metro Indios Verdes. Tania Rosales Moreno. 55 Ver datos",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-grand-capital-147646252.html,"MN 11,500","Av. Centenario 2152
Santiago Atzacoalco, Gustavo A. Madero","63 m² lote, 2 rec., 1 baño, 1 estac.",Gustavo A. Madero
"Bienvenido a tu depto. En la Ciudad de México, por estar a tan solo unos metros del metro bús de la estación politécnico y metro Lindavista de la línea 6, además un lugar ideal para visitar las atracciones como: la villa, Basílica de Guadalupe, Polanco, Palacio Nacional, importantes centros comerciales a 10 minutos caminando (plaza linda vista y fortuna, parque Lindavista) que cuentan con excelentes lugares para comer. Sin dejar de lado qué tan solo caminado estan varios restaurantes entre ellos Lynis y toks, el mejor lugar sin duda para rentar y disfrutar la cdmx. Muy Bien Ubicado!! Cerca de la línea de Metrobús, línea 6, de metro Lindavista. Departamento nuevo a estrenar. Rentalo por $ 18, 000 mantenimiento Incluido ( sin amueblar) opcional amueblado. 57 mts2. 2 recamaras. Muy confortables con closet. 2 baños completos con ventilación. sala amplia. comedor. cocina equipada. 1 cajón de estacionamiento. área de lavado. 1 bodega. Edificio de tan solo 31 departamentos. 5 niveles de construcción. elevadores. escaleras de emergencia. Vigilancia 24 hrs. cerca de plazas comerciales, hospitales, comercios, escuelas y transporte. agenda una cita y apártalo. Rox del Torno. Luxury Homes",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rt-renta-departamento-en-residencial-insurgentes-norte-147494189.html,"MN 18,000","Avenida Insurgentes Norte
Lindavista Norte, Gustavo A. Madero","57 m² lote, 2 rec., 2 baños, 1 estac.",Gustavo A. Madero
"Departamento en renta se encuentra en el primer piso, vista al exterior, tiene una superficie habitable de 70 m² Consta de: 1 Recámara bastante amplia e iluminada, Baño completo, Sala comedor muy amplia y ventilada, Cocina. Máximo 2 personas. Ubicado a 6 calles del metro Martin Carrera, a 3 calles de Parque Tepeyac y a 10 minutos de la alcaldía Gustavo A. Madero. Requisitos: Comprobar Ingresos, Obligado Solidario, Póliza Jurídica, Primera Renta por adelantado, Deposito de una renta, Contrato a 12 meses. ¡pida informes hoy mismo Y agende su cita ya!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-martin-carrera-gustavo-a.-147636536.html,"MN 8,000","Gregorio Payró
Constitución de La República, Gustavo A. Madero","70 m² lote, 1 rec., 1 baño",Gustavo A. Madero
"Rento departamento vigilancia las 24 horas, primer nivel, estancia comedor, tres recamaras principal con baño completo, dos recamaras comparten baño completo, todas con closet, en pasillo closet de blancos, cocina con cocineta integral, área de lavado instalacion para lavadora, por la ubicacion del departamento todas las áreas estan iluminadas, cuenta con un lugar de estacionamiento. Uso de suelo: habitacional. vialidades cercanas 1. - en av miguel bernard, 2. -av. Instituto politecnico nacional. 3. - calzada vallejo, 4. -eje central lazaro cardenas, 5. -calzada ticoman. El conjunto cuenta con lugares de esparcimiento cancha de basquet boll, pista para correr, área juegos infantiles, Y una ubicacion privilegiada esta A 5 minutos de plazas comerciales, plaza torres, plaza parques lindavista, A 10 minutos de costco, universidades como la esia, ipn. La salle. El edificio tiene cisterna Y tinacos. Requisitos: no se aceptan alumnos ipn (no se permite subarrendar) 1. - una renta de depósito. 2. - la renta que corre del mes. 3. -tramitar una póliza juridica con legal global consulting (esta puede ser con aval que tenga un inmueble que no este hipotecado Ó de lo contrario con deudor solidario.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-1er-nivel-3-recamaras-unidad-pemex-146762211.html,"MN 18,000","MIGUEL BERNARD #473 UNIDAD PEMEX LINDAVISTA
La Escalera, Gustavo A. Madero","94 m² lote, 3 rec., 2 baños, 1 estac.",Gustavo A. Madero
"Departamento económico de una recámara, cocina, baño, estancia, área de lavado en azotea, cerca del Deportivo 18 de Marzo, cerca de la Basílica, bien comunicado. No se aceptan mascotas. Máximo 2 personas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-1-recamara-cerca-de-la-basilica-147027408.html,"MN 5,500","Arica 29 depto. 22
Tepeyac Insurgentes, Gustavo A. Madero","45 m² lote, 1 rec., 1 baño",Gustavo A. Madero
"Para estrenar, lindo departamento muy ubicado casi esquina con circuito interior. ( el depto tiene vista A la calle de caruso, no ruidoso. De dos recámaras, sala comedor, cocina abierta con patio de servicio anexo, dos recámaras con clósets, un baño Y un lugar de estacionamiento. Propio para familia de tres personas sin mascotas. Se encuentra en 5o piso con elevador, tiene vigilancia 24/7 con control de acceso. Requisitos de arrendamiento: un mes de depósito, una renta adelantada, fiador con bien raíz en cdmx sin gravamen, ingresos netos comprobables por $45, 000. 00 Y pago de servicio jurídico.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-colonia-vallejo-en-gustavo-a.-145549564.html,"MN 15,000","CARUSO 179
Vallejo, Gustavo A. Madero","60 m² lote, 2 rec., 1 baño, 1 estac.",Gustavo A. Madero
"Asesor daniel ahumada da414. excelente departamento nuevo, completamente amueblado Y servicios incluidos (gas, agua, luz, internet) A 5 minutos camniando de la plaza parque via vallejo. cuenta con: 2 recamaras. 1 baño completo. area de lavado. cocina integral. pet frindly. se encuentra en 3er piso. 1 cajon de estacionamiento. 75M2",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-amueblado-nueva-vallejo-gam-147578995.html,"MN 22,000","Poniente
Nueva Vallejo, Gustavo A. Madero","75 m² lote, 2 rec., 1 baño, 1 estac.",Gustavo A. Madero
"Distribución: • Sala-Comedor. • 3 Recámaras. • 2 Baños completos. • Cocina solo con tarja. • Área de lavado. • 1 Lugar de estacionamiento compartido. Características: • Superficie: 60 m2. • Forma de Terreno: Regular. • Edad: 20 años aprox. • Piso en el que se encuentra: 4° piso. • Niveles Totales: 5 niveles. • Uso de suelo: Habitacional. Equipamiento Depto: • Recamara principal con baño y balcón. • Closet en recamaras. • Gas Natural. • Boiler. • Lavadero. • Área de tendido. Equipamiento Edificio: • Cisterna. • Tinacos. • Escaleras. • Área de juegos. • Cancha de Básquet. • Vigilancia privada. • Portón Eléctrico. Servicios de la Zona. sacmex (Agua), cfe, Drenaje, Transporte Público, servicios de alcaldía. Vialidades cercanas: A 50 mts. De Calz. San Juan de Aragon. A 270 mts. De Av. Gran Canal del Desagüe. A 335 mts. De Eduardo Molina. Transportes públicos: A 500 mts. De Metrobus San Juan de Aragon. A 1 km. De Metro Martín Carrera. Amenidades cercanas: A 335 mts. De Plaza Comercial. A 335 mts. De Supermercado. A 560 mts. De Clínica familiar del imss. A 1 km. De Supermercado. Ubicado al Norte de la Cd. México.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-col.-dm-nacional-gustavo-a.-147544841.html,"MN 9,500","Calzada San Juan de Aragon 530
DM Nacional, Gustavo A. Madero","60 m² lote, 3 rec., 2 baños, 1 estac.",Gustavo A. Madero
