Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"Estancia amplia con pisos de loseta de ceramica, cocina integral, area de lavado, calentador de paso, dos recamaras con closet, vigilancia, roof garden comunitario, elevador, un estacionamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amplio-y-ubicado-deparatmento-en-plomeros-198-147513490.html,"MN 13,500","Plomeros 198
Janitzio, Venustiano Carranza","240 m² lote, 2 rec., 1 baño, 1 estac.",Venustiano Carranza
"Rento depto 75mts, 2 recamaras con closet, Sala - Comedor, Cocina Integral, Área de lavado, Jaula de tendido, 1 baño completo, Terraza y balcón, 1 Lugar de estacionamiento ""Independiente"" Condominio con Vigilancia 24hrs, Circuito cerrado, Roof Garden común equipado, Renta con mantenimiento incluido, Excelente ubicación, a unos minutos de Aeropuerto de cdmx, cerca avenidas principales, Visítalo bajo previa cita te atenderá Mary Paz Martínez.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-renta-2-rec.-1-estacionamiento-ind.-65417838.html,"MN 15,500","Relaciones Exteriores 39
Federal, Venustiano Carranza","75 m² lote, 2 rec., 1 baño, 1 estac.",Venustiano Carranza
"En renta, este departamento de 100 m² se ubica en Valle Gómez, ofreciendo un espacio ideal para familias. Cuenta con 3 recámaras y 2 baños completos, además de un medio baño adicional. La propiedad incluye área de lavado y cocina integral. El interior se distribuye en una amplia sala y comedor, perfectos para recibir visitas o disfrutar en familia. La cocina integral facilita la preparación de alimentos, mientras que las recámaras ofrecen privacidad y confort. Este departamento también permite mascotas y cuenta con 1 lugar de estacionamiento. Ubicado en una zona con acceso a transporte público y vialidades importantes, facilitando la movilidad hacia diferentes puntos de la ciudad. Además, la cercanía a comercios y servicios hace de esta ubicación una excelente opción para vivir. Agenda tu visita!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-100-m-sup2--con-3-recamaras-en-renta-en-144994905.html,"MN 14,500","Zinc 40
Valle Gómez, Venustiano Carranza","100 m² lote, 3 rec., 2 baños, 1 estac.",Venustiano Carranza
"Se rentan 2 Loft amueblados, totalmente remodelados: - la renta incluye los muebles en comodato, agua y luz, así como la cuota de mantenimiento que se paga al edificio, - con excelente luz natural, cuentan con persianas, - se ubican en el tercer piso del edificio, no hay elevador, - el edificio cuenta con doble cisterna y la puerta principal de acceso es de doble seguridad. - No se aceptan mascotas. ** loft 1, se renta en 10, 500. 00. es para 1 persona. Mide: 19 m2. 1 cama, buró, closet, cocina con barra, alacenas, estufa eléctrica y minirefrigerador; 1 baño completo. ** loft 2, se renta en 12, 000. 00. maximo 2 personas. Mide: 30 m2. 2 camas, 2 burós, 1 escritorio, amplio closet, cocina con barra, alacenas, estufa eléctrica y refrigerador; 1 baño completo. Excelente ubicación sobre Calzada Ignacio Zaragoza: - a 12 minutos del Foro Sol y del Aeropuerto de cdmx. - a 10 minutos del Hospital General Balbuena. - a 20 de la unam Fest. - rodeado de escuelas, Hospitales y supermercados de la zona. Medios de Transporte: - A 5 minutos de la tapo. - Metro Moctezuma. - Metrobus línea 5 (hacia Xochimilco y Río de los Remedios). Requisitos para el arrendamiento: - Fiador con bien raíz libre de gravamen o contar con Obligado Solidario que compruebe ingresos. - 1 Depósito en garantía. - Pago de la póliza jurídica de arrendamiento anual 4, 662. 00. Agenda tu cita en el 55 Ver datos, estamos listos para atenderte.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-loft-amueblado-renta-en-jardin-balbuena-146202323.html,"MN 12,000","Calz. Ignacio Zaragoza 107
Jardín Balbuena, Venustiano Carranza","19 m² lote, 1 rec., 1 baño",Venustiano Carranza
"Depto en renta en Balbuena, Calz Zaragoza Edificio nuevo y recién construido, a unos minutos del Aeropuerto cdmx. A 3 cuadras del Metro Aeropuerto y a unos minutos del Viaducto y Circuito Interior. descripción: ️ 2 Recámaras (55m2) 1 Baños Completo. Sala-Comedor. Cocina Integral. Balcón. 1 Estacionamiento. requisitos: Renta mensual $13, 000 pesos mx. 1 mes de depósito más la renta corriente. Aval con propiedad cdmx. Comprobante de ingresos. Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-55-m-sup2--con-2-recamaras-en-renta-jardin-147753020.html,"MN 13,000","Avenida Galindo Y Villa 30
Jardín Balbuena, Venustiano Carranza","55 m² lote, 2 rec., 1 baño, 1 estac.",Venustiano Carranza
"Impecable Departamento en Renta, totalmente remodelado de 106 m2 habitables más 1 lugar de estacionamiento; ventanería de aluminio con excelente luz natural, cocina integral nueva que incluye refrigerador, cancel en los baños, persianas nuevas en todo el departamento, doble puerta de acceso. En edificio de de sólo 5 Departamentos y 2 Loft; con 2 cisternas, puerta principal de alta seguridad, portón eléctrico, gas natural, medidor de luz y agua independiente cada departamento. Ubicado sobre Ave Ignacio Zaragoza: - a 12 minutos del Foro Sol y del Aeropuerto de cdmx. - a 10 minutos del Hospital General Balbuena. - a 20 de la unam Fest. - rodeado de escuelas, Hospitales y supermercados de la zona. Medios de Transporte: - A 5 minutos de la tapo. - Metro moctezuma. - Metrobus línea 5 (hacia Xochimilco y Río de los Remedios) La distribución del departamento: - amplia sala-comedor. - cocina abierta con barra, equipada con refrigerador y estufa nuevos, alacenas. - 3 recámaras: la principal con baño y vestidor; las otras 2 recámaras comparten baño, una recámara con vestidor y otra con amplio closet. - Area para centro de lavado. Requisitos para el arrendamiento: - Renta mensual 18, 000. - Fiador con bien raíz libre de gravamen. - 1. 5 depósitos en garantía. - Pago de la póliza jurídica de arrendamiento anual 7, 334. 00. Agenda tu cita en el 55 Ver datos, estamos listos para atenderte.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-jardin-balbuena-venustiano-146188556.html,"MN 18,000","Calz. Ignacio Zaragoza 107
Jardín Balbuena, Venustiano Carranza","106 m² lote, 3 rec., 2 baños, 1 estac.",Venustiano Carranza
"Se Renta Departamento muy bien ubicado, a una calle del Aeropuerto, una calle de Circuito Interior. 56 mtrs2 que se distribuyen en 2 recámaras con closet, un baño completo, sala y comedor, cocina con área de lavado. En la Renta se incluye el mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-a-pasos-del-aerorpuerto-alc.-147530572.html,"MN 12,500","Calle Fundidora Monterrey 82
Peñón de los Baños, Venustiano Carranza","56 m² lote, 2 rec., 1 baño",Venustiano Carranza
"Distribución: • Sala-Comedor. • 1 Recámara. • 1 Baño completo. • Área de cocina sólo con tarja. • Área de lavado compartida en la azotea. Características: • Superficie: 35 m2. • Forma de Terreno: Regular. • Edad: 40 años aprox. • Piso en el que se encuentra: pb. • Niveles Totales: 5 niveles. • Uso de suelo: Habitacional. • Departamento Interior. Equipamiento Departamento: • Gas cilíndrico (no cuenta con los cilindros). • Boiler. • Lavadero. • Clóset abierto en recámara. Equipamiento Edificio: • Cisterna. • Tinacos. • Escaleras. Servicios de la Zona. sacmex (Agua), cfe, Drenaje, Transporte Público, servicios de la alcaldía. Vialidades: Circuito Interior, calle Platino, Eje 1 Oriente, Av. Ferrocarril Hidalgo, Calzada de Guadalupe, Calzada de los Misterios. A 270 m: estación del metro Consulado (línea 4/5), Deportivo Plutarco Elías Calles. A 540 m: estación del metro Valle Gómez (línea 5). A 650 m: Mercado Minillas. A 700 m: Mercado 53 Río Blanco. A 750: Mercado Valle Gómez, estación del metro Canal del Norte (línea 4). A 1. 5 km: Plaza comercial Tepeyac.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-colonia-valle-gomez-147761268.html,"MN 6,100","Zinc 297
Valle Gómez, Venustiano Carranza","35 m² lote, 1 rec., 1 baño",Venustiano Carranza
"Departamento en planta baja, iluminado, en privada, con excelente ubicación, consta de estancia con mueble bar empotrado, cocina equipada con barra, anexo area de lavado y tendido, tres recamaras cada una con closet, la principal con baño integrado y otro en pasillo, un estacionamiento fijo, vigilancia 24 x 7. Vias como Francisco del Paso y Troncoso, Mercado Mixhuca, Av. Morelos, Rio Churubusco, Cerca de supermercados, restaurantes, cines, velodromo, escuelas, el metro, Palacio de los Deportes. ""no mascotas"" requisitos. 1 deposito. renta actual. poliza juridica. fiador",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-excelente-departamento-en-planta-baja-en-jardin-147705208.html,"MN 17,000","Viaducto Río de la Piedad 580
Jardín Balbuena, Venustiano Carranza","90 m² lote, 3 rec., 2 baños, 1 estac.",Venustiano Carranza
"Descripción. Distribución: • 1 habitaciones. •Cocina solo tarja. • 1 Baños completo. • Cocina equipada. Características: • Terreno de 20 metros (por el indiviso) • Construcción 20 metros cuadrados. • 30 años de antigüedad según escritura. • Terreno regular. • Uso de suelo habitacional. Equipamiento de la vivienda: •Boiler. • Gas red. • 2 Cisternas. Servicios en la zona: • sacmex. • cfe. Drenaje. • Transporte público. • Alcantarillado. • Alumbrado público. Inmueble desocupado. Inmueble usado. Inmueble Libre de gravamen. Documentación con la que se cuenta: • Escritura pública. • Boletas de predial y agua. Esta y otra información documental del inmueble se encuentra disponible en la oficina con previa cita. Requisitos: 1 mes de depósito, la renta que corre, aval con propiedad en la cdmx o en su defecto obligado solidario y pago total. de la póliza jurídica. Ubicación: •160 mts del Mb Moctezuma. • 750 mts de la terminal tapo. • 850 mts de la Alcaldía Venustiano Carranza. • 3. 3 km del aeropuerto internacional de la Ciudad de México. • La información mostrada es con fines ilustrativos únicamente y sin afán de brindar una descripción exacta de medidas, dimensiones, acabados, colores o especificaciones, el resultado puede variar. • Consulte el aviso de privacidad en nuestra página web. Observaciones Oficina: Agendar cita con 24 horas de anticipación. Condiciones Especiales: No se admiten mascotas. Requisitos de Arrendamiento: 1 mes de deposito, la renta que corre, Comprobación de ingresos 3 a 1, aval con propiedad en la cdmx o bien Obligado. Solidario y Pago total de la póliza jurídica. Ubicación. Francisco del Paso y Troncoso 10, Jardín Balbuena, Venustiano Carranza, Ciudad De México",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-loft-en-jardin-balbuena-venustiano-carranza-147762472.html,"MN 7,000","Francisco del Paso y Troncoso 10
Jardín Balbuena, Venustiano Carranza","20 m² lote, 1 rec., 1 baño, 1 estac.",Venustiano Carranza
