Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"Amplio Y funcional departamento, en tercer piso (sin elevador) ubicado en una zona de excelente conectividad, cerca de vialidades principales, colegio aleman, museo dolores olmedo, en un condominio con seguridad, ambiente tranquilo Y lindas area verdes. El departamento cuenta, con 2 recamaras, con closet, la principal con baño, otro baño completo, un estudio, sala comedor, cocina integral, con area de lavado, 2 estacionamientos, uno atraz de otro, cubiertos Y una bodega. Mantenimiento $1100 incluido en la renta. es para maximo 4 personas. se puede ocupar A partir del 15 de octubre, ya que está en remodelacion. requisitos: comprobantes de ingresos. constancia de buro de credito positiva. indispensable fiador con bien inmueble. el condominio no acepta mascotas",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-noria-xochimilco-147483406.html,"MN 14,500","CAMINO A XOCHIMILCO 35
La Noria, Xochimilco","81 m² lote, 2 rec., 2 baños, 2 estac.",Xochimilco
"Departamento en primer nivel. Cuenta con dos habitaciones con clóset, un baño completo, cocineta y área de estancia con espacio para sala y comedor. Dispone de un lugar de estacionamiento independiente con acceso directo. El inmueble tiene ventilación en todos sus espacios, lo que permite un ambiente cómodo para habitar. Se encuentra a 100 metros de Prolongación División del Norte y a 160 metros de la estación del Metrobús Preparatoria 1 y con vías de acceso que conectan hacia distintas zonas de la ciudad. En los alrededores hay comercios, escuelas, parques y servicios básicos, lo que facilita las actividades diarias. No se aceptan mascotas. No existe un mantenimiento como tal, por lo que el inquilino deberá hacerse cargo de la limpieza de sus áreas comunes. Además del pago del jardinero cuya cuota actualmente asciende a $250 mensuales",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-paseo-del-sur-xochimilco-147846028.html,"MN 10,500","Majuelos 173 Depto 2
Paseos del Sur, Xochimilco","86 m² lote, 2 rec., 1 baño, 1 estac.",Xochimilco
55M2. primer piso. 1 recamara. cocina. 1 baño. estancia. area de lavado en azotea. edificio de solo 3 departamentos. A espaldas del deportivo xochimilco. mascota raza muy pequeña. con 1 estacionamiento,https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-xochimilco-144572915.html,"MN 6,000","ACUEDUCTO
La Concha, Xochimilco","54 m² lote, 1 rec., 1 baño",Xochimilco
"Este departamento en renta se encuentra en Huichapan, ofreciendo 50 m² de terreno. Cuenta con una distribución funcional que incluye sala, comedor y cocina. Dispone de 2 recámaras, ideales para una familia pequeña o para compartir. Además, tiene 1 baño completo. El inmueble no cuenta con espacios exteriores como patio o jardín. Tampoco dispone de estacionamiento propio. La ubicación en Huichapan ofrece acceso a servicios básicos y comercios locales. En los alrededores se pueden encontrar tiendas de conveniencia y mercados. La zona es principalmente residencial, con un ambiente tranquilo y familiar. El transporte público está disponible con rutas de autobuses que conectan con otras áreas de la ciudad.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-50-m-sup2--con-2-recamaras-en-renta-en-147472579.html,"MN 12,500","Av Mexico
Huichapan, Xochimilco","50 m² lote, 2 rec., 1 baño",Xochimilco
"Depto en 3er nivel de 2 recamaras, sala, comedor, cocina integral, un baño completo, un lugar de estacionamiento. Vigilancia A las 24 hrs, salon de usos miltiples Y area de juegos de niños. En av principal, varias vias de acceso Y transporte",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147785825.html,"MN 10,000","CARRETERA A SAN PABLO
La Noria, Xochimilco","60 m² lote, 2 rec., 1 estac.",Xochimilco
"Se Propone en Renta Funcional e Iluminado Departamento, Consta de 2 Recámaras con Closet, Sala, Comedor, un Baño, Cocina equipada, Área de lavado, Un lugar fijo de estacionamiento, Salón para eventos y Vigilancia 24/7. Excelentes vías de comunicación, muy cerca del tren ligero la Noria y Museo Dolores Olmedo. No se aceptan mascotas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-147671927.html,"MN 10,000","Av. Acueducto
La Noria, Xochimilco","50 m² lote, 2 rec., 1 baño, 1 estac.",Xochimilco
"Este funcional departamento ofrece un diseño práctico y confortable. Ubicado en la planta alta, , cuenta con una distribución que aprovecha al máximo cada metro cuadrado. Sus acabados sencillos y funcionales lo hacen ideal para quienes buscan un espacio listo para habitar. El interior consta de una sala-comedor integrada, una cocina integral equipada con lo necesario para la vida diaria, 2 recámaras con clósets, un baño completo y un cuarto de tv. Además, cuenta con área de lavado dentro del departamento. . 1 lugar de estacionamiento. Se encuentra en calle cerrada con vigilancia",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amplio-departamento-en-1-nivel-en-jardines-del-sur-147827257.html,"MN 15,000","Calle del Portal 78
Jardines del Sur, Xochimilco","102 m² lote, 2 rec., 1 baño, 1 estac.",Xochimilco
"Departamento en 4 nivel remodelado, consta de 2 recamaras C. closets, estudio, sala, comedor, cocina integral, area de lavado Y tendido, 1 estacionamiento (opcion A 2), acceso controlado, bien ubicado, A media calle de division del norte, frente al tren ligero fco goitia, que no te lo ganen.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-144258660.html,"MN 9,500","20 DE NOVIEMBRE
Barrio San Marcos, Xochimilco","65 m² lote, 2 rec., 1 baño, 1 estac.",Xochimilco
"Departamento en primer nivel en unidad privada, con 3 recamaras, sala comedor, cocina integral, zotehuela, un lugar de estacionamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-147720907.html,"MN 12,000","MARTIRES DE RIO BLANCO
Jardines del Sur, Xochimilco","83 m² lote, 3 rec., 1 baño, 1 estac.",Xochimilco
"Se renta casa de 2 niveles muy cerca del reclusorio sur en San Mateo Xalpa, 110 m2 de construcción, 3 recámaras, 2 baños completos, cocina de mampostería, área de lavado anexa, 1 estacionamiento, portón eléctrico, gas estacionario, persianas, piso de loseta cerámica, se aceptan mascotas, se cobran $300 mensuales por el suministro de agua. Requisitos: la renta que corre, una renta de depósito, comprobantes de ingresos y $2900 para póliza jurídica. Citas previo acuerdo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-casa-en-renta-san-jose-zacatepec-xochimilco-147657756.html,"MN 15,000","Cocoltzi 2 10
San José Zacatepec, Xochimilco","150 m² lote, 3 rec., 2 baños, 1 estac.",Xochimilco
